Country,HbAS
"Bahrain, Sulmaniya, Manama",12.8
Bangladesh,0.08
"Benin, Benin City",20
"Brazil, Maranhão",3.8
"Brazil, Santa Catarina",0.85
"Brazil, Piaui",4.1
"Brazil, Bahia",5.8
"Brazil, Minas Gerais",4.6
"Brazil, Rio de Janeiro",4.1
"Brazil, national",2.5
"Burkina Faso, Bazega",8.2
"Cameroon, Yaounde",13
"Cameroon, Yaounde",13
"Cameroon, Douala",15
"Canada, Ontario",4.65
"Cape Verde, St Catarina",7
"Cape Verde, Praia",11
"Cape Verde, St Catarina",4
"Colombia, Buenaventura",5.9
"Colombia, Cartagena",4.5
"Congo, Brazzaville",13
"Democratic Republic of Congo, Kinshasa",5.6
"Democratic Republic of Congo, Kisangani",23.3
"Ecuador, Ambuqui",14
"Egypt, Siwa Oasis",18.3
England,0.9
"Equatorial Guinea, Bioko Island",16.9
"Gabon, national",21.7
"Germany, South Western",0.22
"Germany, Berlin",0.75
"Ghana, Berekum",20
"Ghana, Accra",11.3
"Ghana, Kintampo",9.1
"Ghana, Tamale",7.4
"Greece, national",1.6
"Guadeloupe, French West  Indies",7.9
"India, Tripura",0.63
"India, Mumbai",2.01
"India, Gujarat",12.5
"India, Chhattisgarh",10
"India, Maharashtra",0.24
"India, Assam",2.1
"India, Uttar Pradesh",0.86
"India, Bengal",1.12
"India, Orissa",3
"Iran, Shiraz",4
"Iran, Mashhad",0.25
"Iran, Esfahan",8.33
"Iraq, Northeastern",0.07
"Italy, Monza",0.34
"Italy, Padova",1
"Ivory Coast, national",6
Jamaica,9.8
"Kenya, Kilifi",10.1
"Kenya, Western",17.1
"Lebanon, Beirut",0.49
"Liberia, Monrovia",10.3
Madagascar,24
"Malawi, Southern",3.7
Malawi,6.5
"Mali, Bamako",8
"Mali, Bancoumana",10.8
"Mali, Southern",14
"Nepal, Dang",3.5
"Nigeria, Enugu",22
"Nigeria, Nnewi",26.4
"Nigeria, Niger Delta",12.5
Oman,4.8
"Pakistan, Peshawar",1.3
"Rwanda, southern highland",2.8
"Saudi Arabia, Riyadh",1.5
"Saudi Arabia, Taif",0.8
"Sudan, Kordofan",45
"Sudan, Darfur",11.3
"Tanzania, Dares Salaam",12.6
"Tanzania, Northwestern",19.7
"Thailand, Northern",0.014
"Togo, Agbandé-Yaka",11.9
"Turkey, Hatay",6.3
"Turkey, national",0.18
"Turkey, Sanliurfa",0.5
"Turkey, Kahramanmaras",0.4
"Uganda, Iganga",26.6
"Uganda, Tororo",9
"Uganda, Jinja",8
"Uganda, Kanungu",2.3
"Uganda, Mbale",17.5
"Uganda, Sironko",17.5
"Uganda, Mbarara/Ntungamo",3
"Uganda, Bundibugyo",13.4
"Uganda, national",13.3
United Arab Emirates,0.8
"USA, Shelby County",6.8
"USA, National",1.5
"Yemen, Taiz",8.2
Zimbabwe,12
