Country,Freq,Longitude,Latitude
Gambia,8.5,-15.4900464,13.470062
Mali,10.0,-2.2900239,16.3700359
Burkina Faso,15.0,-1.6880314,12.0753083
Ghana,16.7,-1.0800271,8.0300284
Nigeria,17.1,7.9999721,9.6000359
Cameroon,20.4,13.1535811,4.6125522
Malawi,30.7,33.9301963,-13.2687204
Tanzania,27.4,35.7878438,-6.5247123
Kenya,15.8,38.4313975,1.4419683
Vietnam,1.5,108.4265113,13.2904027
Rwanda,15.1,30.0644358,-1.9646631
Guinea,20.8,-10.7083587,10.7226226
Yemen,26.3,47.8915271,16.3471243
Congo,54.8,15.6419155,-0.7264327
