"Country","Freq"
"Uttar Pradesh, India",0.8
"Bihar, India",2.5
"Assam, India",2.8
"Meghalaya, India",2.9
"West Bengal, India",2.7
"Odisha, India",2.3
"Jharkhand, India",6.3
"Madhya Pradesh, India",5.1
"Chhattisgarh, India",2.9
"Rajasthan, India",0.8
"Gujarat, India",3.2
"Maharashtra, India",1.5
"Karnataka, India",0.9
"Tamil Nadu, India",4.7
"Kerala, India",2.6
"China",2.1
"Nepal",3.5
"Ethiopia",8.9
"Cape Verde",2.5
"Kavango, Namibia",3.27
"Cameroon",7.9
"Italy",1.1
"Congo",13
"Malawi",11.4
"Uganda",11.8
"Kintampo, Ghana",19
"Botswana",1.26
"Egypt",4.3
"Cape Coast, Ghana",12.4
"Mali",14.5
"Kenya",11.5
"Equatorial Guinea",8.7
"Gambia",12
"Ibadan, Nigeria",12.4
"Nigeria",15.3
"Nyanza Province, Kenya",6.8
