Country,HbS,Longitude,Latitude
Afghanistan,0.0,66.2385139,33.7680065
Albania,0.013999999999999999,19.9999619,41.000028
Algeria,0.006999999999999999,2.9999825,28.0000272
Angola,0.13699999999999998,17.5691241,-11.8775768
Argentina,0.0,-64.9672817,-34.9964963
Armenia,0.0,44.6736646,40.7696272
Aruba,0.016,-69.9618475,12.5013629
Australia,0.001,134.755,-24.7761086
Austria,0.002,13.199959,47.2000338
Azerbaijan,0.0,47.7872508,40.3936294
Bahamas,0.024,-78.0000547,24.7736546
Bahrain,0.05,50.5344606,26.1551249
Bangladesh,0.001,90.2932426,24.4768783
Barbados,0.025,-59.5250305,13.1500331
Belarus,0.0,27.6971358,53.4250605
Belgium,0.008,4.6667145,50.6402809
Belize,0.075,-88.7600927,16.8259793
Benin,0.159,2.2584408,9.5293472
Bhutan,0.001,90.5119273,27.549511
Bolivia,0.0,-64.9912286,-17.0568696
Bosnia and Herzegovina,0.003,17.5961467,44.3053476
Botswana,0.003,24.5928742,-23.1681782
Brazil,0.017,-53.2,-10.3333333
Brunei Darussalam,0.0,114.5653908,4.4137155
Bulgaria,0.006999999999999999,25.4856617,42.6073975
Burkina Faso,0.055999999999999994,-1.6880314,12.0753083
Burundi,0.04,29.8870575,-3.3634357
Cambodia,0.0,104.869423,13.5066394
Cameroon,0.12,13.1535811,4.6125522
Canada,0.004,-107.9917071,61.0666922
Cape Verde,0.026000000000000002,-24.0083947,16.0000552
Central African Republic,0.077,19.9981227,7.0323598
Chad,0.051,19.0156172,15.6134137
Chile,0.0,-71.3187697,-31.7613365
China,0.0,104.999927,35.000074
Colombia,0.008,-73.783892,2.8894434
Comoros,0.018000000000000002,44.2832964,-12.2045176
Congo,0.145,15.6419155,-0.7264327
Democratic Republic of Congo,0.165,23.8222636,-2.9814344
Costa Rica,0.016,-84.0739102,10.2735633
Côte d'Ivoire,0.062,-5.5679458,7.9897371
Croatia ,0.002,17.0118954,45.5643442
Cuba ,0.03,-80.8328748,23.0131338
Cyprus ,0.006999999999999999,33.1396402839342,35.1695632
Czech Republic ,0.001,15.4749544,49.8167003
Denmark ,0.0,10.3333283,55.670249
Djibouti ,0.001,42.8453061,11.8145966
Dominican Republic ,0.019,-70.3028026,19.0974031
Ecuador ,0.0,-79.3666965,-1.3397668
Egypt ,0.012,29.2675469,26.2540493
El Salvador,0.013999999999999999,-88.9140683,13.8000382
Equatorial Guinea ,0.192,10.5170357,1.613172
Eritrea ,0.003,37.9999668,15.9500319
Estonia ,0.0,25.3319078,58.7523778
Ethiopia ,0.003,38.6521203,10.2116702
Fiji ,0.0,179.0122737,-18.1239696
Finland,0.0,25.9209164,63.2467777
France ,0.013000000000000001,1.8883335,46.603354
French Guiana ,0.015,-52.999998,4.0039882
French Polynesia ,0.0,-146.0490931059517,-16.03442485
Gabon ,0.28,11.6899699,-0.8999695
Gambia ,0.075,-15.4900464,13.470062
Georgia ,0.0,-83.1137366,32.3293809
Germany ,0.004,10.4234469,51.0834196
Ghana,0.087,-1.0800271,8.0300284
Greece,0.026000000000000002,21.9877132,38.9953683
Grenada,0.037000000000000005,-61.6904045,12.1360374
Guadeloupe ,0.031,-61.5650444,16.2490067
Guam,0.0,144.75755102972062,13.450125700000001
Guatemala,0.011000000000000001,-89.8988087,15.6356088
Guinea,0.168,-10.7083587,10.7226226
Guinea-Bissau,0.040999999999999995,-14.9000214,12.100035
Guyana,0.021,-58.6416891,4.8417097
Haiti,0.051,-72.3570972,19.1399952
Honduras,0.049,-86.0755145,15.2572432
Hong Kong,0.0,114.1628131,22.2793278
Hungary,0.001,19.5060937,47.1817585
Iceland,0.0,-18.1059013,64.9841821
India,0.023,78.6677428,22.3511148
Indonesia ,0.0,117.8902853,-2.4833826
Iran,0.011000000000000001,54.5643516,32.6475314
Iraq,0.01,44.1749775,33.0955793
Ireland,0.001,-7.9794599,52.865196
Italy,0.005,12.674297,42.6384261
Jamaica,0.037000000000000005,-77.1598454610168,18.1152958
Japan,0.0,139.2394179,36.5748441
Jordan,0.017,36.941628,31.1667049
Kazakhstan,0.0,65.2093197,47.2286086
Kenya,0.038,38.4313975,1.4419683
North Korea,0.0,127.0870417,40.3736611
South Korea,0.0,127.6961188,36.638392
Kuwait,0.031,47.4979476,29.2733964
Kyrgyzstan,0.0,74.724091,41.5089324
Lao People's Democratic Republic,0.0,103.378253,20.0171109
Latvia,0.0,24.7537645,56.8406494
Lebanon,0.049,35.843409,33.8750629
Lesotho,0.001,28.3350193,-29.6039267
Liberia,0.046,-9.3658524,5.7499721
Libya,0.021,18.1236723,26.8234472
Lithuania,0.0,23.7499997,55.3500003
Luxembourg,0.005,6.1296751,49.8158683
Madagascar,0.061,46.4416422,-18.9249604
Malawi,0.033,33.9301963,-13.2687204
Malaysia,0.0,102.2656823,4.5693754
Maldives ,0.0,73.3287853,4.7064352
Mali,0.057,-2.2900239,16.3700359
Malta,0.015,14.4476911,35.8885993
Martinique,0.035,-60.9620777,14.6113732
Mauritania,0.05,-9.2399263,20.2540382
Mauritius,0.0,57.5703566,-20.2759451
Mayotte,0.027000000000000003,45.1520755,-12.823048
Mexico,0.006999999999999999,-99.1331785,19.4326296
Micronesia,0.0,152.00846930625,8.6065
Republic of Moldova,0.0,28.5670941,47.2879608
Mongolia,0.0,103.8499736,46.8250388
Montenegro,0.005,19.5180992,42.9868853
Morocco,0.003,-7.3362482,31.1728205
Mozambique,0.027000000000000003,34.9144977,-19.302233
Myanmar ,0.0,95.9999652,17.1750495
Namibia,0.01,17.3231107,-23.2335499
Nepal ,0.002,84.0917139,28.1083929
Netherlands,0.011000000000000001,5.7480821,52.5001698
Netherlands Antilles,0.023,-68.94047234929069,12.1546009
New Caledonia,0.0,164.55660583077983,-20.454288599999998
New Zealand,0.0,172.8344077,-41.5000831
Nicaragua,0.023,-85.2936911,12.6090157
Niger,0.08,9.3238432,17.7356214
Nigeria,0.171,7.9999721,9.6000359
Norway,0.0,11.52803643954819,64.5731537
Oman,0.001,57.0036901,21.0000287
Pakistan,0.002,71.247499,30.3308401
Panama,0.03,-81.1308434,8.559559
Papua New Guinea,0.0,144.2489081,-5.6816069
Paraguay,0.003,-58.1693445,-23.3165935
Peru,0.0,-75.0458515,-6.8699697
Philippines,0.0,122.7312101,12.7503486
Poland,0.0,19.134422,52.215933
Portugal,0.01,-7.8896263,40.0332629
Puerto Rico,0.004,-66.41328179513847,18.2214149
Qatar,0.032,51.2295295,25.3336984
Réunion,0.0169,55.5265771,-21.1309332
Romania,0.001,24.6859225,45.9852129
Russian Federation,0.0,97.7453061,64.6863136
Rwanda,0.023,30.0644358,-1.9646631
Saint Lucia,0.049,-60.975036,13.8250489
Saint Vincent and the Grenadines,0.045,-61.2765569,12.90447
Samoa,0.0,-172.1200508,-13.7693895
Saudi Arabia,0.018000000000000002,42.3528328,25.6242618
Sao Tome and Principe,0.094,6.9648718,0.8875498
Senegal,0.067,-14.4529612,14.4750607
Serbia,0.004,21.07657433209902,44.024322850000004
Sierra Leone,0.16399999999999998,-11.8400269,8.6400349
Singapore,0.0,103.83039182212079,1.3408630000000001
Slovakia,0.001,19.4528646,48.7411522
Slovenia,0.001,14.4808369,45.8133113
Solomon Islands,0.0,159.10710973724628,-8.7053941
Somalia,0.002,49.083416,8.3676771
South Africa,0.003,24.991639,-28.8166236
Spain,0.006999999999999999,-4.8380649,39.3262345
Sri Lanka ,0.001,80.7137847,7.5554942
Sudan,0.043,29.4917691,14.5844444
Suriname,0.03,-56.0771187,4.1413025
Swaziland,0.006,31.3991317,-26.5624806
Sweden,0.0,14.5208584,59.6749712
Switzerland,0.004,8.2319736,46.7985624
Syrian Arab Republic,0.025,39.0494106,34.6401861
Tajikistan,0.0,70.8156541,38.6281733
Tanzania,0.07400000000000001,35.7878438,-6.5247123
Thailand ,0.0,100.83273,14.8971921
Timor-Leste ,0.0,125.8375756,-8.5151979
Togo,0.125,1.0199765,8.7800265
Trinidad and Tobago,0.038,-60.9821067,10.8677845
Tonga,0.0,-175.2026424,-19.9160819
Tunisia,0.011000000000000001,9.400138,33.8439408
Turkey,0.005,34.9249653,38.9597594
Turkmenistan,0.0,59.3924609,39.3763807
Uganda,0.08199999999999999,32.2166578,1.5333554
Ukraine,0.0,31.2718321,49.4871968
United Arab Emirates,0.004,53.9994829,24.0002488
United Kingdom,0.009000000000000001,-3.2765753,54.7023545
United States of America,0.011000000000000001,-100.4458825,39.7837304
Uruguay,0.001,-56.0201525,-32.8755548
Uzbekistan,0.0,63.9528098,41.32373
Vanuatu,0.0,168.1069154,-16.5255069
Venezuela,0.013999999999999999,-66.1109318,8.0018709
Viet Nam,0.0,108.4265113,13.2904027
Virgin Islands,0.008,-64.5661642,18.4024395
Western Sahara,0.006999999999999999,-13.7667848,24.1797324
Yemen,0.004,47.8915271,16.3471243
Zambia,0.11199999999999999,27.5599164,-14.5186239
Zimbabwe,0.021,29.7468414,-18.4554963
